"id","imagen","precioVenta","nombre","precioCompra","peso","stock","categoria"
"Aecer4WTr3FPV2jDfsAn","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-12-13%2020%3A47%3A31.993351.jpg?alt=media&token=9d17c2eb-99e6-4575-8947-46c55ed618ee","26.5","FRUVI MANGO 1LT X 6 UND","21.36","6","3", "frugos"
"CDgLCRzWmDqystalLfft","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A16%3A29.193721.jpg?alt=media&token=cbf757a0-06d0-4b9f-a1b5-49e3a099b8bc","10","Drinkt limón 475 ML x 6 unid ","8.25","2.5","0","frugos"
"CxFIZxCcyjRlgf1UiZrd","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1713299699353.jpg?alt=media&token=6f7f901e-6e11-486b-8388-5f6fec15bf07","12","Agua Cielo 625 ml ","11.16","9","0","frugos"
"IVbHJNabqzIweiBYtfjB","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-13%2008%3A09%3A37.230875.jpg?alt=media&token=23776858-4d8e-4ee8-aac2-33b67dc11e67","6.5","PAPAS JALAPEÑO 135G- FAMILIAR","5.67","0.135","137","frugos"
"JBnjjxaNL6j7vkrLBHKV","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-13%2008%3A09%3A51.609107.jpg?alt=media&token=c1366848-dcf0-4f83-a314-ed3c2ed67d7f","10","PAPAS BBQ CEBOLLA-TIRA 6 UND 30G","9.02","0.18","46","frugos"
"OCP1fmZHX7FFrp72CJ5U","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A30%3A15.658484.jpg?alt=media&token=bfcc7c7a-3c9e-4b8d-b1e9-0cc21e779f1e","20","Agua Loa 1LT x 12 und","17.4","12","0","frugos"
"OlGTKhkbZlGd64dbidn6","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-07%2008%3A46%3A46.940719.jpg?alt=media&token=ab480574-7eff-493f-8a91-7b153d728ad1","20","Generade Uva 500ML x 12und","16.8","6","0","frugos"
"P7DRXofbXCNgcwvJzhc7","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A06%3A50.578213.jpg?alt=media&token=49251e39-1aad-4222-82eb-74d70652f205","20","360 Frambuesa 300ML x 12 und","17","3.6","2","frugos"
"Q4JXGcIhpYLjjPcRpyQY","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-12-13%2021%3A52%3A10.702074.jpg?alt=media&token=ed47ef2a-3d8c-4ada-8986-a8b4d853896c","20","Fruvi Durazno x 12 unid 300 ML ","16.53","3.6","1","frugos"
"SPZaYNGPCWcKMNvoz0aH","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-14%2013%3A50%3A20.244081.jpg?alt=media&token=d23aa797-1341-45ab-b103-ee26ff5d40e9","12.5","COOL SURTIDO - COLA,PIÑA Y AMARILLA 350 ML X 15 UNID ","10.9","7","2","frugos"
"Sj0xccLZG15ueNBniW1z","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1711822167596.jpg?alt=media&token=a1879894-b8d2-48f8-bffd-6c7e34ee25a2","12.5","KR Limón 350 ml x 15 unid ","11.34","5.5","0","frugos"
"TN38ILAVITlXxVjHtYqp","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-12-13%2021%3A54%3A35.276322.jpg?alt=media&token=b931c856-cec3-4889-9fb9-deb64ec83fae","30","Kero Jugo Camu Camu","25.2","3.6","0","frugos"
"TgyqsxxFxeLXddyvMNZR","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A33%3A51.756968.jpg?alt=media&token=7c07c630-4f88-4b5a-a8d1-6db476bd035c","22.62","AGUA LOA CAJA 20LT","19.91","20","2","frugos"
"Tjo1yJHiXRHu0GvXFdHy","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-13%2008%3A10%3A05.505721.jpg?alt=media&token=041bc186-e46c-4c57-ae33-971247355ef7","10","PAPAS SAL MAR-TIRA 6 UND 33G","9.02","0.18","0","frugos"
"Vt2Fuo8W3t6nYTzUqDyM","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1707831591327.jpg?alt=media&token=30dddf6e-c3fe-44a9-937a-ca19837eb202","17.5","KRIS PUNCH MIX-GREEN,FRUIT. 1,5 LT X6UN","14.88","6","0","frugos"
"ZYD2mpl1eCicECGF3kMn","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-07%2008%3A48%3A26.399630.jpg?alt=media&token=59c6fd67-c64a-47a6-9416-ca46ca867ed9","20","Generade Mora Azul 500ML x 12und","16.8","6","1","frugos"
"aBrBzxkejAUh3SUJ82pq","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-06%2006%3A41%3A56.034433.jpg?alt=media&token=88db201d-2a61-413e-95a7-aa8a4d004a58","20","360 SURTIDO-MARACUYA,FRAMBUESA 300ML","17","3.6","0","frugos"
"bpg7l3v0FghvROkrbH9a","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1711822225675.jpg?alt=media&token=1031c56f-7b22-4039-8687-9e8b5d48cd11","12.5","KR Naranja 350 ml x 15 unid ","11.34","5.5","5","frugos"
"cLBr7gRkYVjq4596KDXV","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1723210674943.jpg?alt=media&token=aed5188d-e378-4215-bbed-6a303054809a","20","Agua Cielo 1LT x 12 und","18.6","0","0","frugos"
"dg83H0XUKqIt9eJQXMiW","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1711822346112.jpg?alt=media&token=7f1ea507-6663-424b-98c0-2b0295bfdc79","12.5","KR Fresa 350 ml x 15 unid ","11.34","5.5","0","frugos"
"f4xN9XCqTeFcSo5rqblU","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-13%2008%3A10%3A19.122163.jpg?alt=media&token=164ac67c-026c-47d6-821c-379aa42815be","10","PAPAS JALAPEÑO-TIRA X 6 UND 30g","9.02","0.18","57","frugos"
"grAdIEFVXWFs7v08NNJz","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-04%2002%3A26%3A01.779305.jpg?alt=media&token=55b284a6-f316-4624-9ffe-b5ff2b350724","12.5","Cool Fresh Amarilla 350ml x 15und","10.82","7","8","frugos"
"hOFHwjR6Qb4qXteIF3pe","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-17%2007%3A45%3A19.650168.jpg?alt=media&token=3fb3001f-ab9a-46ea-9313-815a684f5926","21.62","COOL FRESH COLA 3000ML X 4 UND","18.63","12","0","frugos"
"hOwjW77Tf4f8g834Nicj","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A34%3A03.390253.jpg?alt=media&token=f5a8333d-1447-47e5-9aca-345bf7b2df68","13.12","Agua Loa 7LT x 2und ","11.55","14","13","frugos"
"hYbmAZJmfv7vWdnUW6qs","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1712755213649.jpg?alt=media&token=17c4238a-b9c0-483a-b2ce-e26780ecb4d5","30","Kero Jugo Mix Piña, Mango y Camu Camu","25.2","7","0","frugos"
"hks23cwHPKcMY8ERW6wG","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-29%2008%3A28%3A31.916778.jpg?alt=media&token=e31785f1-f39d-4631-a0bd-9d0719b16c75","17.5","KRIS GREEN PUNCH 1500ML X 6UND","14.88","9","0","frugos"
"jcgzxIQeXv2Tuz6Klv3g","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-15%2008%3A18%3A12.624869.jpg?alt=media&token=baf06883-04db-4411-9b7b-713c56063ed0","20","Generade Tropical 500ML x 12und","16.8","6","0","frugos"
"kmBMe4Xf0ZH5Q9H654E8","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-16%2017%3A13%3A24.008948.jpg?alt=media&token=df98f47d-cc33-4c51-85c0-69e6c769f20e","6.5","PAPAS QUESO Y CEBOLLA 135G-FAMILIAR","5.67","0.135","43","frugos"
"l8gOINSRFdOtsvMLNnlv","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-05%2020%3A57%3A01.191306.jpg?alt=media&token=1bb9111f-b6de-4ca1-9d40-3e10ec33b77c","12.5","Cool Fresh Cola 350 ML X 15 unid","10.82","7","9","frugos"
"lA7UE2Dxih3fvlvDp6xw","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-09%2009%3A16%3A00.669656.jpg?alt=media&token=c753a368-d7c9-40e0-912a-804e2e320a68","20","GENERADE SURTIDO-UVA,MORA,TROPICAL 500ML x12UND","16.8","6","0","frugos"
"lf66jCA6shzFEtguQbYX","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1711822091794.jpg?alt=media&token=14b48a59-66ce-4149-b709-06453aff4729","12.5","KR Cola 350 ml x 15 unid ","11.34","5.5","3","frugos"
"oEz0we9uaZgzbLwqgyXC","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-06%2008%3A53%3A10.866430.jpg?alt=media&token=d0330622-d655-4d9b-a385-1536db0b0852","12.5","KRIS DURAZNO 400ML X 15 UND","10.62","6","2","frugos"
"oP6s3RjprVKMOKFXIRXn","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A18%3A51.016383.jpg?alt=media&token=6d265d68-ade1-4beb-9608-bfd254e511ed","10","Drink T Manzana y Pera 475 ML x 6 unid ","8.25","2.85","0","frugos"
"oTNCCxGNGMrRDwUVjThc","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-06%2006%3A48%3A15.273897.jpg?alt=media&token=305f4336-c208-4e4b-8b1b-3996ce68a667","12.5","KRIS CITRUS PUNCH 350 ML X 15 UND ","10.62","10.62","4","frugos"
"pfcAcToS1CacqhEhveMU","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-17%2010%3A41%3A13.957882.jpg?alt=media&token=42dcfb7b-a9b1-436a-96e5-db6b16468c62","6.5","PAPAS SAL DE MAR 135G-FAMILIAR","5.67","0.135","78","frugos"
"pzu9BMGjLV02iroDLG5j","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-12-13%2022%3A10%3A41.847190.jpg?alt=media&token=744e726f-c372-448d-87ae-c912e8e33973","22.5","COOL FRESH COLA 2000ML X 6 UND","19.35","12","0","frugos"
"q5tkPRAW724Hz91dE7ot","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-15%2008%3A20%3A58.424724.jpg?alt=media&token=be1c5d61-3728-485a-8eb6-e4e11a7674fd","20","KRIS FRUIT PUNCH 3000ML X 4 UND","17","12","1","frugos"
"quOLpSuFX3bf0OfBYl5h","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-06%2007%3A03%3A44.305943.jpg?alt=media&token=5e6595e2-1294-438e-ab1e-89457a37cf44","12.5","KRIS RED PUNCH 350 ML X 15 UND","10.62","6","38","frugos"
"rNVWmeGawEHO3fZ25mnQ","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-13%2008%3A11%3A16.927864.jpg?alt=media&token=31e15cc0-2c84-41d5-9fff-57925132073f","10","PAPAS QUESO Y CEBOLLA-TIRA X 6 UND 33g","9.02","0.18","0","frugos"
"sTi5AfCmIOmvphbUGZth","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1708036994792.jpg?alt=media&token=4cec3d1e-d97d-442e-82be-a40c7de745cf","20","Fruvi Surtido Mango, Durazno x 12","3.6","3.6","0","frugos"
"tDLvJyY1eDvP74ce6Wzy","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A27%3A13.914143.jpg?alt=media&token=99de16f7-cdb3-4aa0-9087-c473b5b5a54a","12","Agua Loa 625ML x 15und","10.3","9.375","8","frugos"
"uW2tCoPRYKMA7lDwmGkw","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-12-12%2008%3A04%3A55.912422.jpg?alt=media&token=2c5711d7-4920-4774-8982-cfaa9095e416","30","Kero Jugo Naranja, Piña y Camu Camu","25.2","3.6","1","frugos"
"ujUmxkXaKD0mkSm5bgxX","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-06%2006%3A51%3A11.113528.jpg?alt=media&token=1088aae3-bb1a-4d99-9c1c-badf342e6b12","12.5","Cool Fresh Piña 350 ML x 15 unid","10.82","7","1","frugos"
"uorXLCm1bN72kT7qOMmr","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1712245430877.jpg?alt=media&token=d5ce1f1c-ce6b-4251-8ff9-d54b8758667b","12.5","KR Piña 350 mi x 15 unid","11.34","5.5","7","frugos"
"vT9aXEMpZb3UgGk4sfI1","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-24%2018%3A46%3A42.330729.jpg?alt=media&token=29afbdcc-dd51-428e-bd8c-f086de476159","30","Kero Aloe Piña","25.2","3.6","3","frugos"
"vkO1w6ba5TmbmzNOiMVj","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-06%2006%3A53%3A10.675255.jpg?alt=media&token=444828bd-e35d-45c7-8189-dd4e8102f9ac","12.5","Kris Green Punch 350ml x 15 und","10.62","11.6","47","frugos"
"vmc5bpRZMX9MHEtH9Lwx","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-12-12%2008%3A02%3A26.311951.jpg?alt=media&token=9a0ab6f3-9742-4ba9-ad7c-8da81e1544d6","30","kero Jugo Mango, Maracuyá y Camu Camu","25.2","3.6","2","frugos"
"yZAhfBRqdNNaBq4hvUdT","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A29%3A55.857853.jpg?alt=media&token=9b883225-cfca-418f-9a63-d797532a6eb0","15","Agua Loa 2.5LT x 6und","12.9","15","0","frugos"
"zBXCO82xMpGS0of7fJ3Y","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-12-12%2007%3A59%3A33.210880.jpg?alt=media&token=bf7c3db3-ff3d-4a67-a1a1-4e568dd81068","20","360 Gamer x 12 unid","17","3.6","1","frugos"



